"Cement","Blast.Furnace.Slag","Fly.Ash","Water","Superplasticizer","Coarse.Aggregate","Fine.Aggregate","Age","Strength"
380,95,0,228,0,932,594,28,36.45
281,0,0,186,0,1104,774,28,22.44
148,175,0,171,2,1000,828,28,26.92
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
155,183,0,193,9,1047,697,28,18.28
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
238.1,0,94.1,186.7,7,949.9,847,28,30.23
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
446,24,79,162,11.6,967,712,7,39.3
424,22,132,168,8.9,822,750,7,40.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
234,156,0,189,5.9,981,760,28,39.3
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
359,19,141,154,10.9,942,801,56,68.75
266,112,87,178,10,910,745,28,39.42
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
359,19,141,154,10.9,942,801,3,23.64
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
332.5,142.5,0,228,0,932,594,90,37.72
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
285,190,0,163,7.6,1031,685,28,53.58
307,0,0,193,0,968,812,180,34.49
284,120,0,168,7,970,794,28,40.93
436,0,0,218,0,838.4,719.7,28,23.85
380,0,0,228,0,932,670,180,53.1
334,17.6,158,189,15.3,967,633,28,44.33
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
116,173,0,192,0,909.8,891.9,3,6.28
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
284,15,141,179,5.5,842,801,56,44.52
525,0,0,189,0,1125,613,28,55.94
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
446,24,79,162,10.3,967,712,28,53.39
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
366,187,0,191.3,6.6,824.3,756.9,28,65.91
155,184,143,194,9,880,699,28,28.99
349,0,0,192,0,1047,806,180,41.05
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
152,178,139,168,18,944,695,28,36.35
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
266,114,0,228,0,932,670,270,51.73
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
277,0,0,191,0,968,856,14,21.26
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
300,0,0,184,0,1075,795,7,15.58
146,173,0,182,3,986,817,28,23.74
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
321.3,164.2,0,190.5,4.6,870,774,28,57.22
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
228,342.1,0,185.7,0,955.8,674.3,7,21.92
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
300,0,0,184,0,1075,795,28,26.85
184,86,190,213,6,923,623,28,22.93
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
236,0,0,193,0,968,885,180,24.1
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
359,19,141,154,10.9,942,801,7,38.61
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
133,200,0,192,0,927.4,839.2,90,36.59
332.5,142.5,0,228,0,932,594,7,30.28
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
289,0,0,192,0,913.2,895.3,3,11.65
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
288,192,0,192,0,932,717.8,7,23.52
155,0,143,193,9,877,868,28,9.74
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
322,149,0,186,8,951,709,28,52.42
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
393,0,0,192,0,940.6,785.6,3,19.2
331,170,0,195,8,811,802,28,56.61
236,157,0,192,0,972.6,749.1,90,47.78
237.5,237.5,0,228,0,932,594,7,26.26
349,0,0,192,0,1047,806.9,3,15.05
387,20,94,157,13.9,938,845,3,25.51
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
425,106.3,0,151.4,18.6,936,803.7,91,66.7
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
116,173,0,192,0,909.8,891.9,7,10.09
376,0,0,214.6,0,1003.5,762.4,56,36.3
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
304,76,0,228,0,932,670,365,55.26
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
